Date,totalIncident
20160101,247
20160102,195
20160103,137
20160104,153
20160105,151
20160106,186
20160107,195
20160108,205
20160109,180
20160110,196
20160111,166
20160112,196
20160113,203
20160114,188
20160115,210
20160116,208
20160117,199
20160118,198
20160119,180
20160120,211
20160121,210
20160122,201
20160123,226
20160124,202
20160125,161
20160126,203
20160127,223
20160128,182
20160129,233
20160130,196
20160131,177
20160201,223
20160202,174
20160203,192
20160204,183
20160205,206
20160206,240
20160207,243
20160208,214
20160209,187
20160210,186
20160211,172
20160212,197
20160213,225
20160214,199
20160215,204
20160216,212
20160217,195
20160218,175
20160219,205
20160220,191
20160221,201
20160222,195
20160223,159
20160224,189
20160225,168
20160226,190
20160227,233
20160228,179
20160229,170
20160301,185
20160302,176
20160303,167
20160304,205
20160305,163
20160306,148
20160307,176
20160308,160
20160309,164
20160310,167
20160311,180
20160312,177
20160313,141
20160314,175
20160315,181
20160316,182
20160317,175
20160318,230
20160319,201
20160320,172
20160321,184
20160322,176
20160323,185
20160324,176
20160325,194
20160326,203
20160327,181
20160328,186
20160329,212
20160330,213
20160331,179
20160401,239
20160402,209
20160403,176
20160404,188
20160405,156
20160406,186
20160407,197
20160408,165
20160409,183
20160410,141
20160411,194
20160412,170
20160413,185
20160414,170
20160415,207
20160416,180
20160417,189
20160418,158
20160419,192
20160420,206
20160421,187
20160422,192
20160423,205
20160424,182
20160425,162
20160426,162
20160427,174
20160428,182
20160429,222
20160430,189
20160501,221
20160502,177
20160503,174
20160504,175
20160505,195
20160506,220
20160507,192
20160508,171
20160509,144
20160510,164
20160511,170
20160512,195
20160513,203
20160514,201
20160515,211
20160516,185
20160517,207
20160518,189
20160519,160
20160520,224
20160521,194
20160522,175
20160523,221
20160524,223
20160525,203
20160526,198
20160527,223
20160528,186
20160529,232
20160530,198
20160531,182
20160601,232
20160602,198
20160603,186
20160604,186
20160605,195
20160606,168
20160607,162
20160608,179
20160609,162
20160610,200
20160611,179
20160612,211
20160613,194
20160614,202
20160615,200
20160616,217
20160617,177
20160618,218
20160619,185
20160620,200
20160621,197
20160622,229
20160623,180
20160624,215
20160625,234
20160626,261
20160627,169
20160628,196
20160629,170
20160630,171
20160701,254
20160702,175
20160703,205
20160704,167
20160705,183
20160706,203
20160707,171
20160708,157
20160709,223
20160710,205
20160711,215
20160712,198
20160713,169
20160714,174
20160715,210
20160716,229
20160717,178
20160718,174
20160719,198
20160720,156
20160721,184
20160722,208
20160723,218
20160724,196
20160725,180
20160726,198
20160727,219
20160728,213
20160729,204
20160730,228
20160731,215
20160801,241
20160802,184
20160803,196
20160804,185
20160805,207
20160806,227
20160807,214
20160808,181
20160809,189
20160810,173
20160811,197
20160812,221
20160813,225
20160814,199
20160815,191
20160816,183
20160817,195
20160818,213
20160819,182
20160820,177
20160821,203
20160822,214
20160823,196
20160824,173
20160825,179
20160826,224
20160827,214
20160828,201
20160829,180
20160830,177
20160831,194
20160901,163
20160902,225
20160903,210
20160904,216
20160905,182
20160906,210
20160907,177
20160908,194
20160909,205
20160910,187
20160911,178
20160912,180
20160913,196
20160914,177
20160915,213
20160916,215
20160917,222
20160918,221
20160919,182
20160920,184
20160921,179
20160922,193
20160923,203
20160924,232
20160925,196
20160926,201
20160927,201
20160928,203
20160929,190
20160930,223
20161001,220
20161002,167
20161003,210
20161004,184
20161005,188
20161006,190
20161007,235
20161008,261
20161009,217
20161010,202
20161011,167
20161012,209
20161013,199
20161014,208
20161015,215
20161016,211
20161017,223
20161018,181
20161019,194
20161020,207
20161021,222
20161022,220
20161023,189
20161024,216
20161025,208
20161026,226
20161027,215
20161028,246
20161029,213
20161030,260
20161031,247
20161101,195
20161102,214
20161103,218
20161104,230
20161105,215
20161106,216
20161107,170
20161108,189
20161109,184
20161110,228
20161111,227
20161112,234
20161113,171
20161114,201
20161115,224
20161116,208
20161117,229
20161118,232
20161119,210
20161120,224
20161121,178
20161122,183
20161123,224
20161124,162
20161125,227
20161126,216
20161127,212
20161128,171
20161129,198
20161130,181
20161201,195
20161202,219
20161203,207
20161204,202
20161205,200
20161206,210
20161207,177
20161208,189
20161209,203
20161210,239
20161211,226
20161212,213
20161213,230
20161214,237
20161215,219
20161216,241
20161217,221
20161218,184
20161219,196
20161220,225
20161221,178
20161222,211
20161223,224
20161224,198
20161225,118
20161226,186
20161227,225
20161228,209
20161229,207
20161230,195
20161231,236
