neighborhood,category,Incident number
Bayview,ASSAULT,998
Bayview,LARCENY/THEFT,508
Bayview,VEHICLE THEFT,442
Bayview,VANDALISM,399
Bayview,SUSPICIOUS OCC,282
Bayview,WEAPON LAWS,183
Bayview,DRUG/NARCOTIC,160
Bayview,ROBBERY,150
Bayview,BURGLARY,145
Bayview,FRAUD,40
Bernal Heights,LARCENY/THEFT,325
Bernal Heights,ASSAULT,237
Bernal Heights,VEHICLE THEFT,166
Bernal Heights,VANDALISM,119
Bernal Heights,BURGLARY,93
Bernal Heights,SUSPICIOUS OCC,85
Bernal Heights,ROBBERY,59
Bernal Heights,WEAPON LAWS,29
Bernal Heights,DRUG/NARCOTIC,27
Bernal Heights,FRAUD,22
Castro/Upper Market,LARCENY/THEFT,97
Castro/Upper Market,VEHICLE THEFT,29
Castro/Upper Market,VANDALISM,22
Castro/Upper Market,BURGLARY,21
Castro/Upper Market,ASSAULT,14
Castro/Upper Market,SUSPICIOUS OCC,10
Castro/Upper Market,FRAUD,7
Castro/Upper Market,ROBBERY,4
Chinatown,LARCENY/THEFT,538
Chinatown,ASSAULT,135
Chinatown,VANDALISM,105
Chinatown,ROBBERY,56
Chinatown,BURGLARY,53
Chinatown,SUSPICIOUS OCC,52
Chinatown,FRAUD,37
Chinatown,VEHICLE THEFT,26
Chinatown,DRUG/NARCOTIC,24
Chinatown,WEAPON LAWS,15
Crocker Amazon,ASSAULT,128
Crocker Amazon,LARCENY/THEFT,79
Crocker Amazon,VANDALISM,48
Crocker Amazon,VEHICLE THEFT,41
Crocker Amazon,SUSPICIOUS OCC,35
Crocker Amazon,ROBBERY,22
Crocker Amazon,BURGLARY,21
Crocker Amazon,WEAPON LAWS,13
Crocker Amazon,FRAUD,10
Crocker Amazon,DRUG/NARCOTIC,9
Diamond Heights,LARCENY/THEFT,65
Diamond Heights,BURGLARY,26
Diamond Heights,VEHICLE THEFT,25
Diamond Heights,VANDALISM,13
Diamond Heights,ASSAULT,11
Diamond Heights,SUSPICIOUS OCC,8
Diamond Heights,ROBBERY,5
Diamond Heights,DRUG/NARCOTIC,3
